;Sigla da Matéria Legislativa;Ano da propositura;Número da propositura;Ano da propositura.1;Ementa (texto em linha única);Ind. Destinatário;Ind. Motivo;Ind. Endereco;Ind. Adm.Regional;Ind. Bairro;Nome;Partido (último)
6490;IND;;3423;1993;"AO SR. PREFEITO ASSUNTO: REVISÃO DOS LEITOS CARROCÁVEIS, LOCAL: VILA DIVA, BAIRRO; VILA DIVA.";;AR-MO/BURACOPAVIMENTACAO;;AR-VP;VILA DIVA (AR-MO);JOSE FERREIRA DO NASCIMENTO;PARTIDO PROGRESSISTA BRASILEIRO
6529;IND;;3462;1993;AO SR. PREFEITO ASSUNTO:CRIAÇÃO DE UMA LINHA DE ÔNIBUS QUE SIRVA A PARTIR DO TERNINAL DE VILA NOVA CACHOEIRINHA, PASSANDO PELO HOSPITAL DAS CLÍNICAS.;;TERMINAL DE ONIBUS VILA NOVA CACHOEIRINHAONIBUS/LINHA DE ONIBUS/HOSPITAL DAS CLINICAS;;;VILA NOVA CACHOEIRINHA;HANNA GHARIB;PARTIDO PROGRESSISTA BRASILEIRO
6669;IND;;3602;1993;AO SR. PREFEITO ASSUNTO: CONSTRUÇÃO DE UM POSTO DE SAÚDE, PARA OS MORADORES DO JD. UBIRAJARA SANTO AMARO.;;POSTO DE SAUDE;;AR-SA;JARDIM UBIRAJARA (AR-SA);MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
6670;IND;;3603;1993;AO SR. PREFEITO ASSUNTO: CONSTRUÇÃO DE UMA CRECHE, PARA OS MORADORES DO JD. UBIRAJARA, SANTO AMARO.;;CRECHE;;AR-SA;JARDIM UBIRAJARA (AR-SA);JOSE COSME LOPES LIMA;PARTIDO PROGRESSISTA BRASILEIRO
6675;IND;;3608;1993;AO SR. PREFEITO ASSUNTO: CONSTRUÇÃO DE UMA CRECHE,PARA OS MORADORES DO JD. PARAGUASSÚ.;;CRECHE;;AR-SM;JARDIM PARAGUACU;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
6678;IND;;3611;1993;AO SR. PREFEITO ASSUNTO. CONSTRUÇÃO DE UMA ESCOLA MUNICIPAL DE EDUCAÇÃO INFANTIL, PARA OS MORADORES, DO JD. PARAGUASSÚ.;;ESCOLA MUNICIPAL DE EDUCACAO INFANTIL;;AR-SM;JARDIM PARAGUACU;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
6686;IND;;3619;1993;SR. PREFEITO CONSTRUCAO DE UM CENTRO DA JUVENTUDE PARA OS MORADORES DO JD. UBIRAJARA, SANTO AMARO;;CENTRO DA JUVENTUDE;;AR-SA;JARDIM UBIRAJARA (AR-SA);MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
6692;IND;;3625;1993;SR. PREFEITO CONSTRUCAO DE UM POSTO DE SAUDE, PARA OS MORADORES DO JD. MAGDALENA II, SANTO AMARO;;POSTO DE SAUDE;;AR-CL;JARDIM MADALENA II;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
6715;IND;;3648;1993;SR. PREFEITO IMPLANTAÇÃO DE UM SACOLÃO MUNICIPAL, PARA OS MORADORES DO JD. UBIRAJARA, SANTO AMARO;;SACOLAO;;AR-SA;JARDIM UBIRAJARA (AR-SA);MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
6716;IND;;3649;1993;SR. PREFEITO IMPLANTAÇÃO DE UM SACOLÃO MUNICIPAL, PARA OS MORADORES DA V.ROSA, V.INDUSTRIAL;;VILA INDUSTRIALSACOLAO;;AR-VP;VILA ROSICLER;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
6717;IND;;3650;1993;SR. PREFEITO _ CONSTRUÇÃO DE UMA CRECHE PARA OS MORADORES DA V.RO SA/V.INDUSTRIAL;;VILA INDUSTRIALCRECHE;;AR-VP;VILA ROSICLER;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
6726;IND;;3659;1993;"SR. PREFEITO CONSTRUÇÃO DE UM ""POSTO DE SAÚDE"", PARA OS MORADORES DE V.ROSA/V.INDUSTRIAL";;POSTO DE SAUDEVILA ROSICLER;;AR-VP;VILA INDUSTRIAL;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
6776;IND;;3709;1993;AO SR. PREFEITO ASSUNTO: ILUMINAÇÃO PÚBLICA NAS RUAS DO JARDIM CANAÃ, PERUS.;;PERUS (DISTRITO)ILUMINACAO PUBLICA;;AR-PR;JARDIM CANAA;JOSE COSME LOPES LIMA;PARTIDO PROGRESSISTA BRASILEIRO
6788;IND;;3721;1993;SR. PREFEITO ASFALTAMENTO DA RUA PROJETADA, ANTIGO CORREGO DAS LAVRINHAS NO BAIRRO DE VILA MAZZEI;;RUA PROJETADA/CORREGO LAVRINHASPAVIMENTACAO;;AR-ST;VILA MAZZEI;PAULO ROBERTO FARIA LIMA;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
6813;IND;;3746;1993;SR. PREFEITO CONSTRUCAO DE UMA CRECHE MUNICIPAL, PARA OS MORADORES DA VILA ROSA/VILA INDUSTRIAL;;CRECHEVILA INDUSTRIAL;;AR-VP;VILA ROSICLER;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
6818;IND;;3751;1993;AO SR. PREFEITO ASSUNTO: CANALIZAÇÃO DE CÓRREGO, LOCAL: CÓRREGO TABATINGUERA, BAIRRO: LIMÃO.;;CORREGO TABATINGUERACANALIZACAO DE CORREGO;;AR-FO;VILA DIVA (AR-FO);WADIH JORGE MUTRAN;PARTIDO DEMOCRATICO TRABALHISTA
6821;IND;;3754;1993;AO SR. PREFEITO ASSUNTO: VARRIÇÃO DE RUAS, LOCAL: BAIRRO DO LIMÃO.;;VARRICAOLIMPEZA PUBLICA;;AR-FO;LIMAO (BAIRRO);WADIH JORGE MUTRAN;PARTIDO DEMOCRATICO TRABALHISTA
6847;IND;;3780;1993;SR. PREFEITO CANALIZACAO DO CORREGO DA VILA IARA, EM PIRITUBA;;CORREGO DA VILA IARA/AR PIRITUBA/JARAGUACANALIZACAO DE CORREGO;;;VILA IARA;OSVALDO GIANNOTTI;PARTIDO PROGRESSISTA BRASILEIRO
6862;IND;;3795;1993;À SECRETARIA MUNICIPAL DE TRANSPORTES SOLICITANDO A REALIZAÇÃO DE ESTUDOS TÉCNICOS COM A FINALIDADE DE SER PROLONGADO ATÉ O CENTRO PRAÇA RAMOS DE AZEVEDO OU PRAÇA DA BANDEIRA, A LINHA DE ÔNIBUS 7043 JD. UMARIZAL/PINHEIROS.;;PINHEIROS/ITINERARIO DE ONIBUS/ZONA CENTRALLINHA DE ONIBUS 7043;;;JARDIM UMARIZAL;ANTONIO SAMPAIO;PARTIDO PROGRESSISTA REFORMADOR
6867;IND;;3800;1993;SR. PREFEITO IMPLANTACAO OU EXTENSAO DE LINHA DE ONIBUS QUE LIGUE O JD. IPANEMA/JARAGUA, AO HOSPITAL DAS CLINICAS, PASSANDO PE LO CENTRO DO BAIRRO DE PINHEIROS;;HOSPITAL DAS CLINICAS/LINHA DE ONIBUS/PINHEIROSITINERARIO DE ONIBUS;;;JARDIM IPANEMA (AR-PJ);ANTONIO SAMPAIO;PARTIDO PROGRESSISTA REFORMADOR
6889;IND;;3822;1993;AO SR. PREFEITO ASSUNTO: CANALIZAÇÃO DO CÓRREGO IARA, NO BAIRRO DE VILA IARA.;;MELHORAMENTO URBANO/CANALIZACAO DE CORREGOCORREGO DA VILA IARA;;AR-FO;VILA IARA;ZULAIE COBRA RIBEIRO;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
6890;IND;;3823;1993;AO SR. PRESIDENTE DA COMPANHIA DE TRANSPORTES URBANOS, A URGENTE NECESSIDADE DE FISCALIZAÇÃO BEM COMO DE MELHORIA DAS CONDIÇÕES DOS ÔNIBUS QUE FAZEM A LINHA MONTE KEMEL ESTAÇÃO DA LUZ.;;LINHA DE ONIBUS 6247/VIACAO SAO BENTOFISCALIZACAO DE ONIBUS;;;JARDIM MONTE KEMEL;ZULAIE COBRA RIBEIRO;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
6907;IND;;3840;1993;AO SR. PREFEITO ASSUNTO:CONTRUÇÃO DE CRECHE, NA CHÁCARA SANTO ANTONIO STO. AMARO.;;CRECHE;;AR-SA;CHACARA SANTO ANTONIO (AR;ANTONIO CARLOS CARUSO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
6909;IND;;3842;1993;AO SR. PREFEITO ASSUNTO: CONSTRUÇÃO DE ESCOLA MUNICIPAL DE EDUCAÇÃO INFANTIL, STO AMARO.;;ESCOLA MUNICIPAL DE EDUCACAO INFANTIL;;AR-SA;CHACARA SANTO ANTONIO (AR;ANTONIO CARLOS CARUSO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
7042;IND;;3975;1993;SABESP REDE DE ESGOTO NAS RUAS DO JD. TEXTIL, V. CARRAO, AR/MO;;REDE DE ESGOTOJARDIM TEXTIL;;AR-MO;VILA CARRAO;WADIH JORGE MUTRAN;PARTIDO DEMOCRATICO TRABALHISTA
7047;IND;;3980;1993;SR. PREFEITO CONSTRUCAO DE PRONTO-SOCORRO, BAIRRO DE V. CARRAO, V. CARRAO, AR/MO;;PRONTO SOCORRO;;AR-MO;VILA CARRAO;WADIH JORGE MUTRAN;PARTIDO DEMOCRATICO TRABALHISTA
7048;IND;;3981;1993;SR. PREFEITO CANALIZACAO DO CORREGO DA RAPADURA, V. CARRAO, AR. /MO;;CORREGO RAPADURACANALIZACAO DE CORREGO;;AR-MO;VILA CARRAO;WADIH JORGE MUTRAN;PARTIDO DEMOCRATICO TRABALHISTA
7052;IND;;3985;1993;SR. PREFEITO ASFALTO NAS RUAS DO JD. TEXTIL, V. CARRAO, AR/MO;;PAVIMENTACAOVILA CARRAO;;AR-MO;JARDIM TEXTIL;WADIH JORGE MUTRAN;PARTIDO DEMOCRATICO TRABALHISTA
7057;IND;;3990;1993;AO SR. PREFEITO ASSUNTO: VARRIÇÃO DE RUA, LOCAL: RUAS DA VILA CARRÃO.;;VARRICAO;;AR-MO;VILA CARRAO;WADIH JORGE MUTRAN;PARTIDO DEMOCRATICO TRABALHISTA
7174;IND;;4107;1993;SR. PREFEITO IMPLANTACAO DE PISTAS DE COOPER EM TODAS AS PRACAS JARDINS E PARQUES DA CIDADE DE SAO PAULO;;JARDIM/PISTA DE COOPERPRACA;;;PARQUE;JOSE COSME LOPES LIMA;PARTIDO PROGRESSISTA BRASILEIRO
7186;IND;;4119;1993;SR. PREFEITO CANALIZACAO DO CORREGO PONTE BAIXA, AR/CL;;CANALIZACAO DE CORREGO/CORREGO PONTE BAIXAJARDIM SANTA JOSEFINA;;;JARDIM VERGUEIRO (AR-CL);EDIVALDO ALVES ESTIMA;PARTIDO POPULAR SOCIALISTA
7197;IND;;4130;1993;SR. PREFEITO CONSTRUCAO DE UMA CRECHE NO JD. PROGRESSO, SANTO AMARO;;CRECHE;;AR-CS;JARDIM PROGRESSO;OSVALDO GIANNOTTI;PARTIDO PROGRESSISTA BRASILEIRO
7198;IND;;4131;1993;SR. PREFEITO CONSTRUCAO DE UMA PONTE SOBRE O CORREGO ARAGUAVA, NO JD. AFONSO, SANTO AMARO;;CORREGO ARAGUAVAPONTE;;AR-CS;JARDIM PAULO AFONSO;OSVALDO GIANNOTTI;PARTIDO PROGRESSISTA BRASILEIRO
7200;IND;;4133;1993;SR. PREFEITO CONSTRUCAO DE UMA CRECHE NA V. ROSCHEL, SANTO AMARO;;CRECHE;;AR-CS;VILA ROSCHEL;OSVALDO GIANNOTTI;PARTIDO PROGRESSISTA BRASILEIRO
7213;IND;;4146;1993;AO SR. PREFEITO ASSUNTO: LIMPEZA DE RUAS, LOCAL: VILA MARCELO BAIRRO: VILA MARCELO.;;LIMPEZA PUBLICA;;AR-CS;VILA MARCELO;WADIH JORGE MUTRAN;PARTIDO DEMOCRATICO TRABALHISTA
7217;IND;;4150;1993;AO SR. PREFEITO ASSUNTO: CONSTRUÇÃO DE UMA CRECHE, LOCAL: VILA MARCELO.;;CRECHE;;AR-CS;VILA MARCELO;WADIH JORGE MUTRAN;PARTIDO DEMOCRATICO TRABALHISTA
7220;IND;;4153;1993;AO SR. PREFEITO ASSUNTO: CONSTRUÇÃO DE UMA CRECHE, LOCAL: JD. PROGRESSO.;;CRECHE;;AR-CS;JARDIM PROGRESSO;WADIH JORGE MUTRAN;PARTIDO DEMOCRATICO TRABALHISTA
7221;IND;;4154;1993;AO SR. PREFEITO ASSUNTO: CONSTRUÇÃO DE UMA CRECHE, LOCAL: VILA ROSCHEL.;;CRECHE;;AR-CS;VILA ROSCHEL;WADIH JORGE MUTRAN;PARTIDO DEMOCRATICO TRABALHISTA
7225;IND;;4158;1993;AO SR. PREFEITO ASSUNTO: COLETA DE LIXO, LOCAL: JD. PROGRESSO.;;COLETA DE LIXO;;AR-CS;JARDIM PROGRESSO;WADIH JORGE MUTRAN;PARTIDO DEMOCRATICO TRABALHISTA
7226;IND;;4159;1993;AO SR. PREFEITO ASSUNTO: CONSTRUÇÃO DE UMA CRECHE, LOCAL: JD. STA. TEREZINHA.;;CRECHE;;AR-CS;JARDIM SANTA TERESINHA (A;WADIH JORGE MUTRAN;PARTIDO DEMOCRATICO TRABALHISTA
7228;IND;;4161;1993;AO SR. PREFEITO ASSUNTO: CONSTRUÇÃO DE ESCOLA, LOCAL: RUA PROGRESSO.;;ESCOLA MUNICIPAL;;AR-CS;JARDIM PROGRESSO;WADIH JORGE MUTRAN;PARTIDO DEMOCRATICO TRABALHISTA
7229;IND;;4162;1993;AO SR. PREFEITO ASSUNTO: CONSTRUÇÃO DE UMA ESCOLA, LOCAL: JD. STA. TEREZINHA.;;ESCOLA MUNICIPAL;;AR-CS;JARDIM SANTA TERESINHA (A;WADIH JORGE MUTRAN;PARTIDO DEMOCRATICO TRABALHISTA
7230;IND;;4163;1993;AO SR. PREFEITO ASSUNTO. CONSTRUÇÃO DE UMA ESCOLA, LOCAL: JD. NICOLAU.;;ESCOLA MUNICIPAL;;AR-CS;JARDIM SAO NICOLAU (AR-CS;WADIH JORGE MUTRAN;PARTIDO DEMOCRATICO TRABALHISTA
7260;IND;;4193;1993;AO SR. PREFEITO ASSUNTO: CONSTRUÇÃO DE CRECHE, BAIRRO:JD. JARAGUÁ.;;CRECHE;;AR-PR;JARDIM JARAGUA (AR-PR);JOSE COSME LOPES LIMA;PARTIDO PROGRESSISTA BRASILEIRO
7261;IND;;4194;1993;AO SR. PREFEITO ASSUNTO: CONSTRUÇÃO DE POSTO DE SAÚDE, BAIRRO: JD. JARAGUÁ.;;POSTO DE SAUDE;;AR-PR;JARDIM JARAGUA (AR-PR);JOSE COSME LOPES LIMA;PARTIDO PROGRESSISTA BRASILEIRO
7296;IND;;4229;1993;SR. PREFEITO CONSTRUÇÃO DE UMA CRECHE PARA PODER ATENDER OS MO RADORES DO JD. CONSÓRCIO, EM STO. AMARO;;CRECHE;;AR-SA;JARDIM CONSORCIO;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
7297;IND;;4230;1993;SR. PREFEITO CONSTRUÇÃO DE UM CENTRO DA JUVENTUDE, PARA PODER ATENDER OS MORADORES DO JD. CONSÓRCIO, EM STO. AMARO;;CENTRO DA JUVENTUDE;;AR-SA;JARDIM CONSORCIO;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
7298;IND;;4231;1993;SR. PREFEITO CONSTRUÇÃO DE UMA ESCOLA MUNICIPAL DE EDUCAÇÃO INFANTIL, PARA PODER ATENDER OS MORADORES DO JD. CONSÓRCIO, EM SANTO AMARO;;ESCOLA MUNICIPAL DE EDUCACAO INFANTIL;;AR-SA;JARDIM CONSORCIO;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
7299;IND;;4232;1993;AO SR. PREFEITO ASSUNTO: CONSTRUÇÃO DE UM POSTO DE SAÚDE PARA O BAIRRO JD. CONSÓRCIO, STO AMARO.;;POSTO DE SAUDE;;AR-SA;JARDIM CONSORCIO;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
7300;IND;;4233;1993;AO SR. PREFEITO ASSUNTO: IMPLANTAÇÃO DE UM SACOLÃO MUNICIPAL, PARA MORADORES DO JD. CONSÓRCIO STO AMARO.;;SACOLAO;;AR-SA;JARDIM CONSORCIO;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
7343;IND;;4276;1993;SR. PREFEITO / INSTALACAO DE UM CENTRO DE PROTECAO AO ADOLESCENTE NOS JARDINS GUARAU E GONCALVES CENTENO;;ADOLESCENTECENTRO DE APOIO AO ADOLESCENTE;;AR-FO;JARDIM GONCALVES CENTENO;HANNA GHARIB;PARTIDO PROGRESSISTA BRASILEIRO
7383;IND;;4316;1993;AO SR. PREFEITO ASSUNTO: CONSTRUÇÃO DE CRECHE, BAIRRO: CIDADE DUTRA.;;CRECHE;;AR-CS;CIDADE DUTRA;ANTONIO CARLOS CARUSO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
7423;IND;;4356;1993;SR. PREFEITO COLOCAÇÃO DE QUATRO LIXEIRAS COLETIVAS PARA O BAIR RO V.SANTANA DO AGRESTE, JD. CAMARGO VELHO, ITAIM PAULISTA;;VILA SANTANA DO AGRESTELIXEIRA;;AR-MP;JARDIM CAMARGO VELHO;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
7426;IND;;4359;1993;SR. PREFEITO CONSTRUÇÃO DE UM CENTRO DA JUVENTUDE, PARA PODER ATENDER OS MORADORES CHÁCARA DONA OLIVIA, JD. CAMARGO VELHO, ITAIM PAULISTA;;CENTRO DA JUVENTUDE;;AR-MP;CHACARA DONA OLIVIA;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
7430;IND;;4363;1993;SR. PREFEITO CONSTRUÇÃO DE UM POSTO DE SAUDE, PARA PODER ATEN DEROS MORADORES DA CHÁCARA DONA OLIVIA, JD. CAMARGO VELHO, ITAIM PAULISTA;;CHACARA DONA OLIVIAPOSTO DE SAUDE;;AR-MP;JARDIM CAMARGO VELHO;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
7486;IND;;4419;1993;SR. PREFEITO INSTALAÇÃO DE UM POSTO DE SAÚDE NA REGIÃO DO JD.PE RY ALTO, AR/FÓ;;POSTO DE SAUDE;;AR-FO;JARDIM PERI;HANNA GHARIB;PARTIDO PROGRESSISTA BRASILEIRO
7513;IND;;4446;1993;SR. PREFEITO CONSTRUÇÃO DE ESCOLA DE 1. GRAU, JD. PIRITUBA, AR/ PJ;;ESCOLA MUNICIPAL DE PRIMEIRO GRAUAR PIRITUBA/JARAGUA;;;JARDIM PIRITUBA;JOSE COSME LOPES LIMA;PARTIDO PROGRESSISTA BRASILEIRO
7529;IND;;4462;1993;SR. PREFEITO CANALIZAÇÃO DO CÓRREGO DO BALNEÁRIO SÃO FRANCISCO, JD. STA. AMÉLIA, AR/SA;;BALNEARIO SAO FRANCISCO/CANALIZACAO DE CORREGOCORREGO;;AR-SA;PARQUE SANTA AMELIA (AR-S;ANTONIO CARLOS CARUSO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
7548;IND;;4481;1993;SR. PREFEITO REVOGAÇÃO DA LEI 10.362 DE 18/09/87, QUE MODIFICA PARCIALMENTE O PLANO DE MELHORAMENTOS APROVADO PELA LEI 6.321,DE 07 DE JUNHO DE 1993,E DÁ OUTRAS PROVIDÊNCIAS;;IPIRANGA/MELHORAMENTO URBANO/LEI 10.362/87REVOGACAO DE LEI;;;VILA MARIANA;JOOJI HATO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
7560;IND;;4493;1993;SR. PREFEITO CONSTRUÇÃO DE UM CENTRO DA JUVENTUDE, PARA PODER ATENDER OS MORADORES DO JD. DUPRAT, PQ. STO. ANTONIO, CAMPO LIMPO SANTO AMARO;;CENTRO DA JUVENTUDEJARDIM DUPRAT;;AR-CL;PARQUE SANTO ANTONIO (AR-;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
7562;IND;;4495;1993;SR. PREFEITO CONSTRUÇÃO DE UMA CRECHE, PARA PODER ATENDER OS MORADORES DO JD. DUPRAT, PQ. STO. ANTONIO, CAMPO LIMPO, SANTO AMA RO;;JARDIM DUPRATCRECHE;;AR-CL;PARQUE SANTO ANTONIO (AR-;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
7570;IND;;4503;1993;AO SR. PREFEITO ASSUNTO: CONSTRUÇÃO DE UMA ESCOLA MUNICIPAL DE EDUCAÇÃO INFANTIL, PARA ATENDER OS MORADORES DO JD. STO ANTONIO, CAMPO LIMPO.;;JARDIM DUPRATESCOLA MUNICIPAL DE EDUCACAO INFANTIL;;AR-CL;PARQUE SANTO ANTONIO (AR-;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
7577;IND;;4510;1993;AO SR. PREFEITO ASSUNTO: CONSTRUÇÃO DE UMA ESCOLA MUNICIPAL DE EDUCAÇÃO INFANTIL, PARA PODER ATENDER OS MORADORES STO AMARO.;;ESCOLA MUNICIPAL DE EDUCACAO INFANTIL;;AR-CL;PARQUE SANTO AMARO;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
7578;IND;;4511;1993;AO SR. PREFEITO ASSUNTO: CONSTRUÇÃO DE UMA CRECHE, PARA PODER ATENDER OS MORADORES DO PARQUE STO ANTONIO.;;CRECHE;;AR-CL;PARQUE SANTO ANTONIO (AR-;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
7579;IND;;4512;1993;AO SR. PREFEITO ASSUNTO: CONSTRUÇÃO DE UM CENTRO DE JUVENTUDE, PARA PODER ATENDER OS MORADORES DO PARQUE SANTO ANTONIO STO AMARO.;;CENTRO DA JUVENTUDE;;AR-CL;PARQUE SANTO ANTONIO (AR-;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
7655;IND;;4588;1993;AO SR. PREFEITO ASSUNTO:IMPLANTAÇÃO DE REDE DE ESGOTO NO LOTEAMENTOJD. EUCALIPTOS .;;ASSOCIACAO AMIGOS DO BAIRRO JARDIM DOS EUCALIPTOSREDE DE ESGOTO;;AR-VP;JARDIM DOS EUCALIPTOS (AR;ARCHIBALDO FENICIO ZANCRA;PARTIDO LIBERAL
7681;IND;;4614;1993;AO SR. PREFEITO ASSUNTO: CONSTRUÇAÕ DE CRECHE, BAIRRO: JD. TURQUESA CAMPO LIMPO.;;CRECHE;;AR-CL;JARDIM TURQUESA;ANTONIO CARLOS CARUSO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
7693;IND;;4626;1993;SR. PREFEITO CONSTRUÇÃO DE UMA CRECHE PARA PODER ATENDER OS MO RADORES DO BAIRRO CIDADE JULIA, SANTO AMARO;;AR-SACRECHE;;AR-VM;CIDADE JULIA;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
7694;IND;;4627;1993;SR. PREFEITO CONSTRUÇÃO DE UM CENTRO DA JUVENTUDE PARA PODER A TENDER OS MORADORES DO BAIRRO CIDADE JULIA, SANTO AMARO;;AR-SACENTRO DA JUVENTUDE;;AR-VM;CIDADE JULIA;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
